sample	5g	bw	bn	sbw 	brep	trep	alphaphellandrene	myrcene	alphaterpinene	limonene	betaphellandrene	cisocimene	gammaterpinene	transocimene	alphaterpinolene	roseoxide	linalool	zcitral	alphaterpineol	methylgeranate	ecitral	farnesene1	farnesene2	citranellol	nerol	geraniol	geranicacid	d3linalool
C	5.087	29.4962	20.00	1.47481	1	1	58368	688030	67787	185228	90341	213524	NA	212504	29257	117537	151493	NA	NA	3507927	33549	309451	773530	240076	396282	3407529	551277	410244
C	5.0015	32.5341	20.00	1.626705	2	1	62512	731507	88744	178878	102951	223960	NA	234528	30599	255319	116184	NA	NA	4273722	41784	181859	464101	246471	690112	4584481	605450	409468
C	5.0374	31.5569	20.00	1.577845	3	1	40106	520106	62397	142890	59374	169223	NA	171956	19215	99416	104515	NA	NA	3461666	48589	147501	397498	143783	313809	3073698	459421	476923
C	5.0035	32.8082	20.00	1.64041	4	1	42556	661239	92822	150267	94388	209557	NA	218685	NA	69231	65241	NA	NA	4090743	112844	88835	235400	239758	633294	4686898	741711	319701
ED	5.0528	37.8033	30.00	1.26011	1	1	60723	804988	97467	283333	111085	252469	NA	262817	32740	251046	140766	NA	NA	805590	61290	31412	57199	230904	763942	5279194	380639	418862
ED	4.9891	45.3788	30.00	1.51262666666667	2	1	54869	558862	66310	227678	77911	163907	NA	167025	17640	207848	104333	NA	NA	2104165	37782	44798	95007	197008	316514	3222200	463502	461471
ED	5.0215	42.7918	30.00	1.42639333333333	3	1	43825	564283	91018	175673	89833	186101	NA	184877	NA	249483	93358	NA	NA	1366570	27044	41133	87361	187958	509156	4558608	478850	443324
ED	4.9479	38.2543	30.00	1.27514333333333	4	1	82128	1041419	122523	256749	131906	311209	NA	335266	34878	298527	142967	NA	NA	3105529	73325	90268	199680	247354	937092	5472848	765544	395949
LD	4.9872	45.0555	30.00	1.50185	1	1	55351	657493	90079	194015	86789	210486	NA	224008	26222	190635	128600	NA	NA	3360024	104129	41663	149225	214950	577421	4246303	599473	472328
LD	4.9931	43.8377	30.00	1.46125666666667	2	1	48718	718637	58267	194038	87494	225844	NA	242245	25073	68794	130322	NA	NA	3709382	56965	112704	304015	270568	499664	4935738	882523	367642
LD	5.0129	46.0544	30.00	1.53514666666667	3	1	78461	996787	88802	277616	125951	306934	NA	328975	38377	195602	152622	NA	NA	3859960	99775	150241	383515	301513	940251	6253864	1171398	458825
LD	4.998	50.3106	30.00	1.67702	4	1	73218	867273	94534	182858	107334	272344	NA	288830	32304	233000	133758	NA	NA	2536393	119525	64253	111043	303375	860099	5256120	706261	436005
PD	5.0209	41.5863	30.00	1.38621	1	1	57391	776550	84980	216121	99764	244604	NA	266942	28515	181807	136929	NA	NA	4113809	67835	63216	144581	279232	616120	5098770	870508	465733
PD	5.0261	43.2333	30.00	1.44111	2	1	46433	664128	96294	196842	99041	216328	NA	231922	NA	150993	116206	NA	NA	3401103	124484	131435	351014	175546	664692	4882358	403447	320133
PD	5.0007	36.2614	30.00	1.20871333333333	3	1	91853	1149858	113340	268556	147823	347156	NA	377261	48887	364026	175666	NA	NA	3221406	142587	169554	310630	274294	1081405	5824132	940350	435698
PD	5.0009	40.937	30.00	1.36456666666667	4	1	76339	957160	100954	237534	123547	304404	NA	327351	40710	286392	171120	NA	NA	5212576	107178	210863	454439	297073	963446	6038675	944638	594994
